Generation: 0 | Best fitness: -256194.72 | Avg fitness: -278631.4
Generation: 1 | Best fitness: -246792.31 | Avg fitness: -252907.61
Generation: 2 | Best fitness: -215390.16 | Avg fitness: -237082.23
Generation: 3 | Best fitness: -203424.44 | Avg fitness: -227851.66
Generation: 4 | Best fitness: -194594.66 | Avg fitness: -220441.16
Generation: 5 | Best fitness: -182391.1 | Avg fitness: -219585.73
Generation: 6 | Best fitness: -182391.1 | Avg fitness: -219057.58
Generation: 7 | Best fitness: -182391.1 | Avg fitness: -217824.92
Generation: 8 | Best fitness: -177025.47 | Avg fitness: -219706.53
Generation: 9 | Best fitness: -177025.47 | Avg fitness: -219539.97
Generation: 10 | Best fitness: -177025.47 | Avg fitness: -220962.66
Generation: 11 | Best fitness: -177025.47 | Avg fitness: -219680.66
Generation: 12 | Best fitness: -162927.56 | Avg fitness: -219618.5
Generation: 13 | Best fitness: -162927.56 | Avg fitness: -218448.3
Generation: 14 | Best fitness: -162927.56 | Avg fitness: -220689.92
Generation: 15 | Best fitness: -162927.56 | Avg fitness: -219521.22
Generation: 16 | Best fitness: -162927.56 | Avg fitness: -218825.2
Generation: 17 | Best fitness: -162927.56 | Avg fitness: -217983.61
Generation: 18 | Best fitness: -162927.56 | Avg fitness: -215405.22
Generation: 19 | Best fitness: -162927.56 | Avg fitness: -212699.86
Generation: 20 | Best fitness: -162927.56 | Avg fitness: -211689.1
Generation: 21 | Best fitness: -162927.56 | Avg fitness: -210961.25
Generation: 22 | Best fitness: -162927.56 | Avg fitness: -211621.97
Generation: 23 | Best fitness: -162716.06 | Avg fitness: -211125.4
Generation: 24 | Best fitness: -158380.4 | Avg fitness: -210373.75
Generation: 25 | Best fitness: -158380.4 | Avg fitness: -210905.34
Generation: 26 | Best fitness: -158380.4 | Avg fitness: -211785.81
Generation: 27 | Best fitness: -158380.4 | Avg fitness: -211847.27
Generation: 28 | Best fitness: -158380.4 | Avg fitness: -211346.17
Generation: 29 | Best fitness: -158380.4 | Avg fitness: -210747.45
Generation: 30 | Best fitness: -153138.75 | Avg fitness: -210127.42
Generation: 31 | Best fitness: -145490.94 | Avg fitness: -209170.86
Generation: 32 | Best fitness: -145490.94 | Avg fitness: -209007.06
Generation: 33 | Best fitness: -145490.94 | Avg fitness: -209022.56
Generation: 34 | Best fitness: -145490.94 | Avg fitness: -209494.61
Generation: 35 | Best fitness: -145490.94 | Avg fitness: -209160.9
Generation: 36 | Best fitness: -145490.94 | Avg fitness: -208942.25
Generation: 37 | Best fitness: -145490.94 | Avg fitness: -208857.66
Generation: 38 | Best fitness: -145490.94 | Avg fitness: -208130.42
Generation: 39 | Best fitness: -145490.94 | Avg fitness: -208089.38
Generation: 40 | Best fitness: -145490.94 | Avg fitness: -207080.08
Generation: 41 | Best fitness: -145490.94 | Avg fitness: -208582.05
Generation: 42 | Best fitness: -145490.94 | Avg fitness: -207751.23
Generation: 43 | Best fitness: -145490.94 | Avg fitness: -208283.97
Generation: 44 | Best fitness: -145490.94 | Avg fitness: -208519.47
Generation: 45 | Best fitness: -145490.94 | Avg fitness: -209040.92
Generation: 46 | Best fitness: -145490.94 | Avg fitness: -208670.97
Generation: 47 | Best fitness: -145490.94 | Avg fitness: -208816.83
Generation: 48 | Best fitness: -145490.94 | Avg fitness: -208465.94
Generation: 49 | Best fitness: -145490.94 | Avg fitness: -207980.13
Generation: 50 | Best fitness: -145490.94 | Avg fitness: -208097.88
Generation: 51 | Best fitness: -145490.94 | Avg fitness: -208886.08
Generation: 52 | Best fitness: -145490.94 | Avg fitness: -208165.92
Generation: 53 | Best fitness: -145490.94 | Avg fitness: -208073.78
Generation: 54 | Best fitness: -145490.94 | Avg fitness: -209449.47
Generation: 55 | Best fitness: -145490.94 | Avg fitness: -207772.77
Generation: 56 | Best fitness: -145490.94 | Avg fitness: -208642.34
Generation: 57 | Best fitness: -145490.94 | Avg fitness: -208064.13
Generation: 58 | Best fitness: -145490.94 | Avg fitness: -207095.16
Generation: 59 | Best fitness: -145490.94 | Avg fitness: -208938.53
Generation: 60 | Best fitness: -142943.03 | Avg fitness: -207887.06
Generation: 61 | Best fitness: -142943.03 | Avg fitness: -207818.28
Generation: 62 | Best fitness: -142943.03 | Avg fitness: -208189.4
Generation: 63 | Best fitness: -142943.03 | Avg fitness: -206600.05
Generation: 64 | Best fitness: -142943.03 | Avg fitness: -207199.39
Generation: 65 | Best fitness: -142943.03 | Avg fitness: -207326.67
Generation: 66 | Best fitness: -142943.03 | Avg fitness: -207971.98
Generation: 67 | Best fitness: -142943.03 | Avg fitness: -207066.36
Generation: 68 | Best fitness: -142943.03 | Avg fitness: -209475.8
Generation: 69 | Best fitness: -142943.03 | Avg fitness: -208008.72
Generation: 70 | Best fitness: -142943.03 | Avg fitness: -207765.88
Generation: 71 | Best fitness: -142943.03 | Avg fitness: -207793.69
Generation: 72 | Best fitness: -142943.03 | Avg fitness: -206864.4
Generation: 73 | Best fitness: -142943.03 | Avg fitness: -208455.31
Generation: 74 | Best fitness: -142943.03 | Avg fitness: -208156.02
Generation: 75 | Best fitness: -142943.03 | Avg fitness: -207903.88
Generation: 76 | Best fitness: -142943.03 | Avg fitness: -208767.2
Generation: 77 | Best fitness: -142943.03 | Avg fitness: -208426.8
Generation: 78 | Best fitness: -142943.03 | Avg fitness: -208587.89
Generation: 79 | Best fitness: -142943.03 | Avg fitness: -208033.11
Generation: 80 | Best fitness: -142943.03 | Avg fitness: -207503.92
Generation: 81 | Best fitness: -142943.03 | Avg fitness: -209206.84
Generation: 82 | Best fitness: -142943.03 | Avg fitness: -207686.2
Generation: 83 | Best fitness: -142943.03 | Avg fitness: -207068.45
Generation: 84 | Best fitness: -142943.03 | Avg fitness: -208775.86
Generation: 85 | Best fitness: -142943.03 | Avg fitness: -209003.23
Generation: 86 | Best fitness: -142943.03 | Avg fitness: -209499.77
