Generation: 0 | Best fitness: 55071.215 | Avg fitness: 67865.92
Generation: 1 | Best fitness: 92255.93 | Avg fitness: 106852.44
Generation: 2 | Best fitness: 129193.63 | Avg fitness: 143903.66
Generation: 3 | Best fitness: 169458.14 | Avg fitness: 164863.34
Generation: 4 | Best fitness: 201983.33 | Avg fitness: 167037.63
Generation: 5 | Best fitness: 201983.33 | Avg fitness: 167964.72
Generation: 6 | Best fitness: 201983.33 | Avg fitness: 168073.77
Generation: 7 | Best fitness: 201983.33 | Avg fitness: 168460.48
Generation: 8 | Best fitness: 201983.33 | Avg fitness: 169499.83
Generation: 9 | Best fitness: 201983.33 | Avg fitness: 170044.83
Generation: 10 | Best fitness: 201983.33 | Avg fitness: 171022.08
Generation: 11 | Best fitness: 201983.33 | Avg fitness: 171117.89
Generation: 12 | Best fitness: 201983.33 | Avg fitness: 171218.94
Generation: 13 | Best fitness: 201983.33 | Avg fitness: 172210.3
Generation: 14 | Best fitness: 201983.33 | Avg fitness: 171973.83
Generation: 15 | Best fitness: 201983.33 | Avg fitness: 171830.6
Generation: 16 | Best fitness: 201983.33 | Avg fitness: 171946.98
Generation: 17 | Best fitness: 201983.33 | Avg fitness: 172141.7
Generation: 18 | Best fitness: 201983.33 | Avg fitness: 171442.38
Generation: 19 | Best fitness: 201983.33 | Avg fitness: 171758.3
Generation: 20 | Best fitness: 201983.33 | Avg fitness: 171945.17
Generation: 21 | Best fitness: 201983.33 | Avg fitness: 171911.3
Generation: 22 | Best fitness: 201983.33 | Avg fitness: 171975.02
Generation: 23 | Best fitness: 201983.33 | Avg fitness: 172494.88
Generation: 24 | Best fitness: 201983.33 | Avg fitness: 172189.55
Generation: 25 | Best fitness: 201983.33 | Avg fitness: 171195.33
Generation: 26 | Best fitness: 201983.33 | Avg fitness: 171680.98
Generation: 27 | Best fitness: 201983.33 | Avg fitness: 172090.64
Generation: 28 | Best fitness: 201983.33 | Avg fitness: 172037.4
Generation: 29 | Best fitness: 201983.33 | Avg fitness: 172161.16
Generation: 30 | Best fitness: 201983.33 | Avg fitness: 172729.69
Generation: 31 | Best fitness: 201983.33 | Avg fitness: 172190.42
Generation: 32 | Best fitness: 201983.33 | Avg fitness: 172385.66
Generation: 33 | Best fitness: 201983.33 | Avg fitness: 172616.6
Generation: 34 | Best fitness: 201983.33 | Avg fitness: 172365.02
Generation: 35 | Best fitness: 201983.33 | Avg fitness: 172815.39
Generation: 36 | Best fitness: 201983.33 | Avg fitness: 172353.38
Generation: 37 | Best fitness: 201983.33 | Avg fitness: 172471.33
Generation: 38 | Best fitness: 201983.33 | Avg fitness: 172856.52
Generation: 39 | Best fitness: 201983.33 | Avg fitness: 172701.55
Generation: 40 | Best fitness: 201983.33 | Avg fitness: 172589.8
Generation: 41 | Best fitness: 201983.33 | Avg fitness: 172639.61
Generation: 42 | Best fitness: 206486.11 | Avg fitness: 172134.66
Generation: 43 | Best fitness: 206486.11 | Avg fitness: 172517.52
Generation: 44 | Best fitness: 206486.11 | Avg fitness: 171974.73
Generation: 45 | Best fitness: 206486.11 | Avg fitness: 171621.44
Generation: 46 | Best fitness: 206486.11 | Avg fitness: 171976.27
Generation: 47 | Best fitness: 206937.44 | Avg fitness: 171642.28
Generation: 48 | Best fitness: 206937.44 | Avg fitness: 171241.75
Generation: 49 | Best fitness: 206937.44 | Avg fitness: 171457.3
Generation: 50 | Best fitness: 206937.44 | Avg fitness: 171149.98
Generation: 51 | Best fitness: 206937.44 | Avg fitness: 171369.56
Generation: 52 | Best fitness: 206937.44 | Avg fitness: 171361.42
Generation: 53 | Best fitness: 206937.44 | Avg fitness: 171308.64
Generation: 54 | Best fitness: 206937.44 | Avg fitness: 171753.83
Generation: 55 | Best fitness: 206937.44 | Avg fitness: 171306.53
Generation: 56 | Best fitness: 206937.44 | Avg fitness: 171830.14
Generation: 57 | Best fitness: 206937.44 | Avg fitness: 171595.17
Generation: 58 | Best fitness: 206937.44 | Avg fitness: 171527.86
Generation: 59 | Best fitness: 206937.44 | Avg fitness: 170985.77
Generation: 60 | Best fitness: 206937.44 | Avg fitness: 171123.52
Generation: 61 | Best fitness: 206937.44 | Avg fitness: 171325.97
Generation: 62 | Best fitness: 206937.44 | Avg fitness: 171908.67
Generation: 63 | Best fitness: 206937.44 | Avg fitness: 171513.13
Generation: 64 | Best fitness: 206937.44 | Avg fitness: 171330.52
Generation: 65 | Best fitness: 206937.44 | Avg fitness: 171866.98
Generation: 66 | Best fitness: 206937.44 | Avg fitness: 172343.36
Generation: 67 | Best fitness: 206937.44 | Avg fitness: 172101.97
Generation: 68 | Best fitness: 206937.44 | Avg fitness: 172105.3
Generation: 69 | Best fitness: 207041.27 | Avg fitness: 172528.8
Generation: 70 | Best fitness: 207857.08 | Avg fitness: 171233.11
Generation: 71 | Best fitness: 207857.08 | Avg fitness: 171866.22
Generation: 72 | Best fitness: 207857.08 | Avg fitness: 172156.9
Generation: 73 | Best fitness: 207857.08 | Avg fitness: 171838.13
Generation: 74 | Best fitness: 207857.08 | Avg fitness: 171933.47
Generation: 75 | Best fitness: 207857.08 | Avg fitness: 171983.13
Generation: 76 | Best fitness: 207857.08 | Avg fitness: 171969.19
Generation: 77 | Best fitness: 207857.08 | Avg fitness: 172234.42
Generation: 78 | Best fitness: 207857.08 | Avg fitness: 172019.17
Generation: 79 | Best fitness: 207857.08 | Avg fitness: 171832.69
Generation: 80 | Best fitness: 207857.08 | Avg fitness: 171756.44
Generation: 81 | Best fitness: 207857.08 | Avg fitness: 171385.84
Generation: 82 | Best fitness: 207857.08 | Avg fitness: 171722.56
Generation: 83 | Best fitness: 209194.78 | Avg fitness: 171928.6
Generation: 84 | Best fitness: 209194.78 | Avg fitness: 172158.72
Generation: 85 | Best fitness: 209194.78 | Avg fitness: 171838.72
Generation: 86 | Best fitness: 209194.78 | Avg fitness: 172022.14
Generation: 87 | Best fitness: 209194.78 | Avg fitness: 172069.17
Generation: 88 | Best fitness: 209194.78 | Avg fitness: 172378.47
Generation: 89 | Best fitness: 209194.78 | Avg fitness: 171654.06
Generation: 90 | Best fitness: 209194.78 | Avg fitness: 172108.53
Generation: 91 | Best fitness: 209194.78 | Avg fitness: 172271.86
Generation: 92 | Best fitness: 217497.98 | Avg fitness: 171851.45
Generation: 93 | Best fitness: 217497.98 | Avg fitness: 172362.97
Generation: 94 | Best fitness: 217497.98 | Avg fitness: 171847.52
Generation: 95 | Best fitness: 217497.98 | Avg fitness: 172365.56
Generation: 96 | Best fitness: 217497.98 | Avg fitness: 171768.58
Generation: 97 | Best fitness: 217497.98 | Avg fitness: 171920.89
Generation: 98 | Best fitness: 217497.98 | Avg fitness: 172519.34
Generation: 99 | Best fitness: 217497.98 | Avg fitness: 172606.4
Generation: 100 | Best fitness: 217497.98 | Avg fitness: 172613.7
Generation: 101 | Best fitness: 217497.98 | Avg fitness: 172212.5
Generation: 102 | Best fitness: 217497.98 | Avg fitness: 172135.3
Generation: 103 | Best fitness: 217497.98 | Avg fitness: 172628.84
Generation: 104 | Best fitness: 217497.98 | Avg fitness: 172025.9
Generation: 105 | Best fitness: 217497.98 | Avg fitness: 172170.56
Generation: 106 | Best fitness: 217497.98 | Avg fitness: 172547.81
Generation: 107 | Best fitness: 217497.98 | Avg fitness: 172232.88
Generation: 108 | Best fitness: 217497.98 | Avg fitness: 171797.94
Generation: 109 | Best fitness: 217497.98 | Avg fitness: 172502.84
Generation: 110 | Best fitness: 217497.98 | Avg fitness: 172213.31
Generation: 111 | Best fitness: 217497.98 | Avg fitness: 172827.1
Generation: 112 | Best fitness: 217497.98 | Avg fitness: 172365.92
