Generation: 0 | Best fitness: 68731.92 | Avg fitness: 67971.3
Generation: 1 | Best fitness: 87809.95 | Avg fitness: 105621.68
Generation: 2 | Best fitness: 128750.15 | Avg fitness: 141293.83
Generation: 3 | Best fitness: 171826.58 | Avg fitness: 164637.06
Generation: 4 | Best fitness: 188376.77 | Avg fitness: 165750.42
Generation: 5 | Best fitness: 189255.19 | Avg fitness: 166852.89
Generation: 6 | Best fitness: 189652.61 | Avg fitness: 168093.02
Generation: 7 | Best fitness: 189652.61 | Avg fitness: 169701.45
Generation: 8 | Best fitness: 192434.5 | Avg fitness: 169526.31
Generation: 9 | Best fitness: 192535.03 | Avg fitness: 170691.55
Generation: 10 | Best fitness: 193722.89 | Avg fitness: 171025.14
Generation: 11 | Best fitness: 194947.27 | Avg fitness: 172021.06
Generation: 12 | Best fitness: 196700.25 | Avg fitness: 171673.4
Generation: 13 | Best fitness: 196700.25 | Avg fitness: 171892.45
Generation: 14 | Best fitness: 200327.44 | Avg fitness: 171815.13
Generation: 15 | Best fitness: 200327.44 | Avg fitness: 170938.52
Generation: 16 | Best fitness: 200327.44 | Avg fitness: 171856.88
Generation: 17 | Best fitness: 200327.44 | Avg fitness: 171772.27
Generation: 18 | Best fitness: 200327.44 | Avg fitness: 171159.48
Generation: 19 | Best fitness: 200327.44 | Avg fitness: 171797.52
Generation: 20 | Best fitness: 200327.44 | Avg fitness: 170662.84
Generation: 21 | Best fitness: 200327.44 | Avg fitness: 172133.92
Generation: 22 | Best fitness: 200327.44 | Avg fitness: 170667.75
Generation: 23 | Best fitness: 200327.44 | Avg fitness: 171341.94
Generation: 24 | Best fitness: 200327.44 | Avg fitness: 171904.89
Generation: 25 | Best fitness: 200327.44 | Avg fitness: 170754.45
Generation: 26 | Best fitness: 200327.44 | Avg fitness: 172030.81
Generation: 27 | Best fitness: 200327.44 | Avg fitness: 172002.2
Generation: 28 | Best fitness: 200327.44 | Avg fitness: 172079.95
Generation: 29 | Best fitness: 200327.44 | Avg fitness: 171224.66
Generation: 30 | Best fitness: 200327.44 | Avg fitness: 172021.84
Generation: 31 | Best fitness: 200327.44 | Avg fitness: 173275.84
Generation: 32 | Best fitness: 200327.44 | Avg fitness: 172696.86
Generation: 33 | Best fitness: 200327.44 | Avg fitness: 172572.44
Generation: 34 | Best fitness: 200327.44 | Avg fitness: 172717.83
Generation: 35 | Best fitness: 200327.44 | Avg fitness: 173463.16
Generation: 36 | Best fitness: 200327.44 | Avg fitness: 172736.86
Generation: 37 | Best fitness: 200327.44 | Avg fitness: 173499.44
Generation: 38 | Best fitness: 200327.44 | Avg fitness: 172845.42
Generation: 39 | Best fitness: 200327.44 | Avg fitness: 172529.19
Generation: 40 | Best fitness: 200327.44 | Avg fitness: 174031.08
Generation: 41 | Best fitness: 200327.44 | Avg fitness: 173923.9
Generation: 42 | Best fitness: 201396.38 | Avg fitness: 173720.23
Generation: 43 | Best fitness: 201396.38 | Avg fitness: 173699.14
Generation: 44 | Best fitness: 201396.38 | Avg fitness: 173629.88
Generation: 45 | Best fitness: 201396.38 | Avg fitness: 174031.77
Generation: 46 | Best fitness: 201396.38 | Avg fitness: 174764.56
Generation: 47 | Best fitness: 201396.38 | Avg fitness: 174105.97
Generation: 48 | Best fitness: 201396.38 | Avg fitness: 174505.92
Generation: 49 | Best fitness: 201396.38 | Avg fitness: 173895.42
Generation: 50 | Best fitness: 201396.38 | Avg fitness: 174409.94
Generation: 51 | Best fitness: 201396.38 | Avg fitness: 174719.16
Generation: 52 | Best fitness: 201396.38 | Avg fitness: 174039.9
Generation: 53 | Best fitness: 201396.38 | Avg fitness: 174409.52
Generation: 54 | Best fitness: 201396.38 | Avg fitness: 174430.03
Generation: 55 | Best fitness: 201396.38 | Avg fitness: 174780.39
Generation: 56 | Best fitness: 201396.38 | Avg fitness: 173991.22
Generation: 57 | Best fitness: 201396.38 | Avg fitness: 174590.53
Generation: 58 | Best fitness: 201554.89 | Avg fitness: 174612.47
Generation: 59 | Best fitness: 201554.89 | Avg fitness: 174079.33
Generation: 60 | Best fitness: 201554.89 | Avg fitness: 175030.78
Generation: 61 | Best fitness: 201730.75 | Avg fitness: 175102.03
Generation: 62 | Best fitness: 201730.75 | Avg fitness: 175048.19
Generation: 63 | Best fitness: 201730.75 | Avg fitness: 174532.44
Generation: 64 | Best fitness: 201730.75 | Avg fitness: 174263.94
Generation: 65 | Best fitness: 201730.75 | Avg fitness: 174903.83
Generation: 66 | Best fitness: 201730.75 | Avg fitness: 174481.56
Generation: 67 | Best fitness: 201730.75 | Avg fitness: 174964.1
Generation: 68 | Best fitness: 201730.75 | Avg fitness: 175454.28
Generation: 69 | Best fitness: 201730.75 | Avg fitness: 174679.03
Generation: 70 | Best fitness: 201730.75 | Avg fitness: 174514.08
Generation: 71 | Best fitness: 201730.75 | Avg fitness: 174972.53
Generation: 72 | Best fitness: 201730.75 | Avg fitness: 174851.27
Generation: 73 | Best fitness: 201730.75 | Avg fitness: 174735.77
Generation: 74 | Best fitness: 201730.75 | Avg fitness: 175124.13
Generation: 75 | Best fitness: 201730.75 | Avg fitness: 174655.97
Generation: 76 | Best fitness: 201730.75 | Avg fitness: 175086.98
Generation: 77 | Best fitness: 201730.75 | Avg fitness: 174636.73
Generation: 78 | Best fitness: 201730.75 | Avg fitness: 175115.17
Generation: 79 | Best fitness: 201730.75 | Avg fitness: 174304.67
Generation: 80 | Best fitness: 203055.25 | Avg fitness: 174581.77
Generation: 81 | Best fitness: 203055.25 | Avg fitness: 174498.94
Generation: 82 | Best fitness: 203055.25 | Avg fitness: 174690.55
Generation: 83 | Best fitness: 203055.25 | Avg fitness: 175870.1
Generation: 84 | Best fitness: 203055.25 | Avg fitness: 175903.72
Generation: 85 | Best fitness: 203055.25 | Avg fitness: 175651.8
Generation: 86 | Best fitness: 203055.25 | Avg fitness: 175405.16
Generation: 87 | Best fitness: 203055.25 | Avg fitness: 175729.53
Generation: 88 | Best fitness: 203055.25 | Avg fitness: 175398.83
Generation: 89 | Best fitness: 203055.25 | Avg fitness: 175519.95
Generation: 90 | Best fitness: 203055.25 | Avg fitness: 175411.22
Generation: 91 | Best fitness: 203055.25 | Avg fitness: 175139.53
Generation: 92 | Best fitness: 203055.25 | Avg fitness: 175591.66
Generation: 93 | Best fitness: 203055.25 | Avg fitness: 175538.84
Generation: 94 | Best fitness: 203055.25 | Avg fitness: 175498.06
Generation: 95 | Best fitness: 203055.25 | Avg fitness: 175701.61
Generation: 96 | Best fitness: 203055.25 | Avg fitness: 175272.2
Generation: 97 | Best fitness: 209163.66 | Avg fitness: 175242.78
Generation: 98 | Best fitness: 209163.66 | Avg fitness: 175749.95
Generation: 99 | Best fitness: 209163.66 | Avg fitness: 175783.88
Generation: 100 | Best fitness: 209163.66 | Avg fitness: 175026.98
Generation: 101 | Best fitness: 209163.66 | Avg fitness: 176109.08
Generation: 102 | Best fitness: 209163.66 | Avg fitness: 175665.08
Generation: 103 | Best fitness: 209163.66 | Avg fitness: 175404.2
Generation: 104 | Best fitness: 209163.66 | Avg fitness: 175263.78
Generation: 105 | Best fitness: 209163.66 | Avg fitness: 175658.55
Generation: 106 | Best fitness: 209163.66 | Avg fitness: 176128.73
Generation: 107 | Best fitness: 209163.66 | Avg fitness: 175519.64
Generation: 108 | Best fitness: 209163.66 | Avg fitness: 176528.7
Generation: 109 | Best fitness: 209163.66 | Avg fitness: 175954.98
Generation: 110 | Best fitness: 209163.66 | Avg fitness: 175866.88
Generation: 111 | Best fitness: 209163.66 | Avg fitness: 176227.81
Generation: 112 | Best fitness: 209163.66 | Avg fitness: 176287.27
Generation: 113 | Best fitness: 209163.66 | Avg fitness: 175986.17
Generation: 114 | Best fitness: 209163.66 | Avg fitness: 176867.31
Generation: 115 | Best fitness: 209163.66 | Avg fitness: 176464.84
Generation: 116 | Best fitness: 209163.66 | Avg fitness: 177541.9
Generation: 117 | Best fitness: 209163.66 | Avg fitness: 176968.27
Generation: 118 | Best fitness: 209163.66 | Avg fitness: 176484.78
Generation: 119 | Best fitness: 209163.66 | Avg fitness: 176812.36
Generation: 120 | Best fitness: 209163.66 | Avg fitness: 176950.2
Generation: 121 | Best fitness: 209163.66 | Avg fitness: 177122.36
Generation: 122 | Best fitness: 209163.66 | Avg fitness: 177048.98
Generation: 123 | Best fitness: 209163.66 | Avg fitness: 177185.56
Generation: 124 | Best fitness: 209163.66 | Avg fitness: 177511.39
Generation: 125 | Best fitness: 209163.66 | Avg fitness: 177268
Generation: 126 | Best fitness: 209163.66 | Avg fitness: 177940.92
Generation: 127 | Best fitness: 209163.66 | Avg fitness: 177627.52
Generation: 128 | Best fitness: 209163.66 | Avg fitness: 177486.72
Generation: 129 | Best fitness: 209163.66 | Avg fitness: 178258.11
Generation: 130 | Best fitness: 209163.66 | Avg fitness: 177930.67
Generation: 131 | Best fitness: 209163.66 | Avg fitness: 178456.23
Generation: 132 | Best fitness: 209163.66 | Avg fitness: 178271.33
Generation: 133 | Best fitness: 209163.66 | Avg fitness: 177901.98
Generation: 134 | Best fitness: 209163.66 | Avg fitness: 179281.06
Generation: 135 | Best fitness: 209163.66 | Avg fitness: 178930.61
Generation: 136 | Best fitness: 209163.66 | Avg fitness: 178104.83
Generation: 137 | Best fitness: 209163.66 | Avg fitness: 178457.98
Generation: 138 | Best fitness: 209163.66 | Avg fitness: 178560.31
Generation: 139 | Best fitness: 209163.66 | Avg fitness: 178892.84
Generation: 140 | Best fitness: 209163.66 | Avg fitness: 178200.83
Generation: 141 | Best fitness: 209163.66 | Avg fitness: 178362.28
Generation: 142 | Best fitness: 209163.66 | Avg fitness: 178680.39
Generation: 143 | Best fitness: 209163.66 | Avg fitness: 178104.06
Generation: 144 | Best fitness: 209163.66 | Avg fitness: 178328.61
Generation: 145 | Best fitness: 209163.66 | Avg fitness: 178155.52
Generation: 146 | Best fitness: 209163.66 | Avg fitness: 178074.8
Generation: 147 | Best fitness: 209163.66 | Avg fitness: 177660.14
Generation: 148 | Best fitness: 209163.66 | Avg fitness: 178151.23
Generation: 149 | Best fitness: 209163.66 | Avg fitness: 178189.06
Generation: 150 | Best fitness: 209163.66 | Avg fitness: 178268.27
Generation: 151 | Best fitness: 209163.66 | Avg fitness: 178194.34
Generation: 152 | Best fitness: 209163.66 | Avg fitness: 177377.19
Generation: 153 | Best fitness: 209295.58 | Avg fitness: 178037.03
Generation: 154 | Best fitness: 209295.58 | Avg fitness: 178513.84
Generation: 155 | Best fitness: 209295.58 | Avg fitness: 177340.45
Generation: 156 | Best fitness: 209295.58 | Avg fitness: 177956.9
Generation: 157 | Best fitness: 209295.58 | Avg fitness: 177852.9
Generation: 158 | Best fitness: 209295.58 | Avg fitness: 177664.66
Generation: 159 | Best fitness: 209295.58 | Avg fitness: 177676.38
Generation: 160 | Best fitness: 209295.58 | Avg fitness: 177483.05
Generation: 161 | Best fitness: 209295.58 | Avg fitness: 177402.38
Generation: 162 | Best fitness: 209295.58 | Avg fitness: 178171.86
Generation: 163 | Best fitness: 209295.58 | Avg fitness: 177270.11
Generation: 164 | Best fitness: 209295.58 | Avg fitness: 177478.13
Generation: 165 | Best fitness: 209295.58 | Avg fitness: 177718.61
Generation: 166 | Best fitness: 209295.58 | Avg fitness: 178251.25
Generation: 167 | Best fitness: 209295.58 | Avg fitness: 178537.27
Generation: 168 | Best fitness: 209295.58 | Avg fitness: 177639.86
Generation: 169 | Best fitness: 209295.58 | Avg fitness: 177466.77
Generation: 170 | Best fitness: 209295.58 | Avg fitness: 177582.6
Generation: 171 | Best fitness: 209295.58 | Avg fitness: 177273.45
Generation: 172 | Best fitness: 209295.58 | Avg fitness: 177595.78
Generation: 173 | Best fitness: 209295.58 | Avg fitness: 177689.69
Generation: 174 | Best fitness: 209295.58 | Avg fitness: 177497.86
Generation: 175 | Best fitness: 209295.58 | Avg fitness: 177723.58
Generation: 176 | Best fitness: 209295.58 | Avg fitness: 177791.38
Generation: 177 | Best fitness: 209295.58 | Avg fitness: 178081.9
Generation: 178 | Best fitness: 209295.58 | Avg fitness: 177216.05
Generation: 179 | Best fitness: 209295.58 | Avg fitness: 177613.1
Generation: 180 | Best fitness: 209295.58 | Avg fitness: 177251.56
Generation: 181 | Best fitness: 209295.58 | Avg fitness: 178131.94
Generation: 182 | Best fitness: 209295.58 | Avg fitness: 177777.84
Generation: 183 | Best fitness: 209295.58 | Avg fitness: 177651.23
Generation: 184 | Best fitness: 209295.58 | Avg fitness: 176862.64
Generation: 185 | Best fitness: 209295.58 | Avg fitness: 177203.75
Generation: 186 | Best fitness: 209295.58 | Avg fitness: 177322.17
Generation: 187 | Best fitness: 209295.58 | Avg fitness: 177332.38
Generation: 188 | Best fitness: 209295.58 | Avg fitness: 178172.67
Generation: 189 | Best fitness: 209295.58 | Avg fitness: 177902.1
Generation: 190 | Best fitness: 209295.58 | Avg fitness: 177854.94
Generation: 191 | Best fitness: 209295.58 | Avg fitness: 177772.16
Generation: 192 | Best fitness: 209534.53 | Avg fitness: 178302.56
Generation: 193 | Best fitness: 209534.53 | Avg fitness: 177736.5
Generation: 194 | Best fitness: 209534.53 | Avg fitness: 177806.73
Generation: 195 | Best fitness: 209534.53 | Avg fitness: 177529.56
Generation: 196 | Best fitness: 209534.53 | Avg fitness: 177141.05
Generation: 197 | Best fitness: 209534.53 | Avg fitness: 177887.02
Generation: 198 | Best fitness: 209534.53 | Avg fitness: 177471.64
Generation: 199 | Best fitness: 209534.53 | Avg fitness: 177409.98
Generation: 200 | Best fitness: 209534.53 | Avg fitness: 177495.75
